,Star Name
461,SDSS J000013.54+255418.6 [de]
462,SDSS J000013.54+255418.6 [de]
463,SDSS J000013.54+255418.6 [de]
464,SDSS J000013.54+255418.6 [de]
465,SDSS J000013.54+255418.6 [de]
466,SDSS J000013.54+255418.6 [de]
467,SDSS J000013.54+255418.6 [de]
468,SDSS J000013.54+255418.6 [de]
469,SDSS J000013.54+255418.6 [de]
470,SDSS J000013.54+255418.6 [de]
471,SDSS J000013.54+255418.6 [de]
472,SDSS J000013.54+255418.6 [de]
473,SDSS J000013.54+255418.6 [de]
474,SDSS J000013.54+255418.6 [de]
475,SDSS J000013.54+255418.6 [de]
476,SDSS J000013.54+255418.6 [de]
477,SDSS J000013.54+255418.6 [de]
478,SDSS J000013.54+255418.6 [de]
479,SDSS J000013.54+255418.6 [de]
480,SDSS J000013.54+255418.6 [de]
481,SDSS J000013.54+255418.6 [de]
482,SDSS J000013.54+255418.6 [de]
483,SDSS J000013.54+255418.6 [de]
484,SDSS J000013.54+255418.6 [de]
485,SDSS J000013.54+255418.6 [de]
486,SDSS J000013.54+255418.6 [de]
487,SDSS J000013.54+255418.6 [de]
488,SDSS J000013.54+255418.6 [de]
489,SDSS J000013.54+255418.6 [de]
490,SDSS J000013.54+255418.6 [de]
491,SDSS J000013.54+255418.6 [de]
492,SDSS J000013.54+255418.6 [de]
493,SDSS J000013.54+255418.6 [de]
494,SDSS J000013.54+255418.6 [de]
495,SDSS J000013.54+255418.6 [de]
496,SDSS J000013.54+255418.6 [de]
497,SDSS J000013.54+255418.6 [de]
498,SDSS J000013.54+255418.6 [de]
499,SDSS J000013.54+255418.6 [de]
500,SDSS J000013.54+255418.6 [de]
501,SDSS J000013.54+255418.6 [de]
502,SDSS J000013.54+255418.6 [de]
503,SDSS J000013.54+255418.6 [de]
504,SDSS J000013.54+255418.6 [de]
505,SDSS J000013.54+255418.6 [de]
506,SDSS J000013.54+255418.6 [de]
507,SDSS J000013.54+255418.6 [de]
508,SDSS J000013.54+255418.6 [de]
509,SDSS J000013.54+255418.6 [de]
510,SDSS J000013.54+255418.6 [de]
511,SDSS J000013.54+255418.6 [de]
512,SDSS J000013.54+255418.6 [de]
513,SDSS J000013.54+255418.6 [de]
514,SDSS J000013.54+255418.6 [de]
515,SDSS J000013.54+255418.6 [de]
516,SDSS J000013.54+255418.6 [de]
517,SDSS J000013.54+255418.6 [de]
518,SDSS J000013.54+255418.6 [de]
519,SDSS J000013.54+255418.6 [de]
520,SDSS J000013.54+255418.6 [de]
521,SDSS J000013.54+255418.6 [de]
522,SDSS J000013.54+255418.6 [de]
523,SDSS J000013.54+255418.6 [de]
524,SDSS J000013.54+255418.6 [de]
525,SDSS J000013.54+255418.6 [de]
526,SDSS J000013.54+255418.6 [de]
527,SDSS J000013.54+255418.6 [de]
528,SDSS J000013.54+255418.6 [de]
529,SDSS J000013.54+255418.6 [de]
530,SDSS J000013.54+255418.6 [de]
531,SDSS J000013.54+255418.6 [de]
532,SDSS J000013.54+255418.6 [de]
533,SDSS J000013.54+255418.6 [de]
534,SDSS J000013.54+255418.6 [de]
535,SDSS J000013.54+255418.6 [de]
536,SDSS J000013.54+255418.6 [de]
537,SDSS J000013.54+255418.6 [de]
538,SDSS J000013.54+255418.6 [de]
539,SDSS J000013.54+255418.6 [de]
540,SDSS J000013.54+255418.6 [de]
541,SDSS J000013.54+255418.6 [de]
542,SDSS J000013.54+255418.6 [de]
543,SDSS J000013.54+255418.6 [de]
544,SDSS J000013.54+255418.6 [de]
545,SDSS J000013.54+255418.6 [de]
546,SDSS J000013.54+255418.6 [de]
547,SDSS J000013.54+255418.6 [de]
548,SDSS J000013.54+255418.6 [de]
549,SDSS J000013.54+255418.6 [de]
550,SDSS J000013.54+255418.6 [de]
551,SDSS J000013.54+255418.6 [de]
552,SDSS J000013.54+255418.6 [de]
553,SDSS J000013.54+255418.6 [de]
554,SDSS J000013.54+255418.6 [de]
555,SDSS J000013.54+255418.6 [de]
556,SDSS J000013.54+255418.6 [de]
557,SDSS J000013.54+255418.6 [de]
558,SDSS J000013.54+255418.6 [de]
559,SDSS J000013.54+255418.6 [de]
560,SDSS J000013.54+255418.6 [de]
561,SDSS J000013.54+255418.6 [de]
562,SDSS J000013.54+255418.6 [de]
563,SDSS J000013.54+255418.6 [de]
564,SDSS J000013.54+255418.6 [de]
565,SDSS J000013.54+255418.6 [de]
566,SDSS J000013.54+255418.6 [de]
567,SDSS J000013.54+255418.6 [de]
568,SDSS J000013.54+255418.6 [de]
569,SDSS J000013.54+255418.6 [de]
570,SDSS J000013.54+255418.6 [de]
571,SDSS J000013.54+255418.6 [de]
572,SDSS J000013.54+255418.6 [de]
573,SDSS J000013.54+255418.6 [de]
574,SDSS J000013.54+255418.6 [de]
575,SDSS J000013.54+255418.6 [de]
576,SDSS J000013.54+255418.6 [de]
577,SDSS J000013.54+255418.6 [de]
578,SDSS J000013.54+255418.6 [de]
579,SDSS J000013.54+255418.6 [de]
580,SDSS J000013.54+255418.6 [de]
581,SDSS J000013.54+255418.6 [de]
582,SDSS J000013.54+255418.6 [de]
583,SDSS J000013.54+255418.6 [de]
584,SDSS J000013.54+255418.6 [de]
585,SDSS J000013.54+255418.6 [de]
586,SDSS J000013.54+255418.6 [de]
587,SDSS J000013.54+255418.6 [de]
588,SDSS J000013.54+255418.6 [de]
589,SDSS J000013.54+255418.6 [de]
590,SDSS J000013.54+255418.6 [de]
591,SDSS J000013.54+255418.6 [de]
592,SDSS J000013.54+255418.6 [de]
593,SDSS J000013.54+255418.6 [de]
594,SDSS J000013.54+255418.6 [de]
595,SDSS J000013.54+255418.6 [de]
596,SDSS J000013.54+255418.6 [de]
597,SDSS J000013.54+255418.6 [de]
598,SDSS J000013.54+255418.6 [de]
599,SDSS J000013.54+255418.6 [de]
600,SDSS J000013.54+255418.6 [de]
601,SDSS J000013.54+255418.6 [de]
602,SDSS J000013.54+255418.6 [de]
603,SDSS J000013.54+255418.6 [de]
604,SDSS J000013.54+255418.6 [de]
605,SDSS J000013.54+255418.6 [de]
606,SDSS J000013.54+255418.6 [de]
607,SDSS J000013.54+255418.6 [de]
608,SDSS J000013.54+255418.6 [de]
609,SDSS J000013.54+255418.6 [de]
610,SDSS J000013.54+255418.6 [de]
611,SDSS J000013.54+255418.6 [de]
612,SDSS J000013.54+255418.6 [de]
613,SDSS J000013.54+255418.6 [de]
614,SDSS J000013.54+255418.6 [de]
615,SDSS J000013.54+255418.6 [de]
616,SDSS J000013.54+255418.6 [de]
617,SDSS J000013.54+255418.6 [de]
618,SDSS J000013.54+255418.6 [de]
619,SDSS J000013.54+255418.6 [de]
620,SDSS J000013.54+255418.6 [de]
621,SDSS J000013.54+255418.6 [de]
622,SDSS J000013.54+255418.6 [de]
623,SDSS J000013.54+255418.6 [de]
624,SDSS J000013.54+255418.6 [de]
625,SDSS J000013.54+255418.6 [de]
626,SDSS J000013.54+255418.6 [de]
627,SDSS J000013.54+255418.6 [de]
628,SDSS J000013.54+255418.6 [de]
629,SDSS J000013.54+255418.6 [de]
630,SDSS J000013.54+255418.6 [de]
631,SDSS J000013.54+255418.6 [de]
632,SDSS J000013.54+255418.6 [de]
633,SDSS J000013.54+255418.6 [de]
634,SDSS J000013.54+255418.6 [de]
635,SDSS J000013.54+255418.6 [de]
636,SDSS J000013.54+255418.6 [de]
637,SDSS J000013.54+255418.6 [de]
638,SDSS J000013.54+255418.6 [de]
639,SDSS J000013.54+255418.6 [de]
640,SDSS J000013.54+255418.6 [de]
641,SDSS J000013.54+255418.6 [de]
642,SDSS J000013.54+255418.6 [de]
643,SDSS J000013.54+255418.6 [de]
644,SDSS J000013.54+255418.6 [de]
645,SDSS J000013.54+255418.6 [de]
646,SDSS J000013.54+255418.6 [de]
647,SDSS J000013.54+255418.6 [de]
648,SDSS J000013.54+255418.6 [de]
649,SDSS J000013.54+255418.6 [de]
650,SDSS J000013.54+255418.6 [de]
651,SDSS J000013.54+255418.6 [de]
652,SDSS J000013.54+255418.6 [de]
653,SDSS J000013.54+255418.6 [de]
654,SDSS J000013.54+255418.6 [de]
655,SDSS J000013.54+255418.6 [de]
656,SDSS J000013.54+255418.6 [de]
657,SDSS J000013.54+255418.6 [de]
658,SDSS J000013.54+255418.6 [de]
659,SDSS J000013.54+255418.6 [de]
660,SDSS J000013.54+255418.6 [de]
661,SDSS J000013.54+255418.6 [de]
662,SDSS J000013.54+255418.6 [de]
663,SDSS J000013.54+255418.6 [de]
664,SDSS J000013.54+255418.6 [de]
